date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:04	112/112	---MCZ	200	added ('OK')	text/plain	date:Wed,%2022%20Oct%202025%2011:50:03%20GMT	https://www.vwthemes.net/robots.txt		(from )
12:50:05	70926/70926	---MCZ	200	added ('OK')	text/html	date:Wed,%2022%20Oct%202025%2011:50:04%20GMT	https://www.vwthemes.net/vw-grocery-pro/	C:/cloned/grocery2go/www.vwthemes.net/vw-grocery-pro/index.html	(from )
12:50:05	116363/116363	---MCZ	200	added ('OK')	text/css	etag:W/%221c68b-67feaa38-fbbcf49c152cb9cd;br%22	https://www.vwthemes.net/wp-includes/css/dist/block-library/style.min.css?ver=6.8.1	C:/cloned/grocery2go/www.vwthemes.net/wp-includes/css/dist/block-library/style.min0899.css	(from https://www.vwthemes.net/vw-grocery-pro/)
12:50:06	150996/150996	---MCZ	200	added ('OK')	text/css	etag:W/%2224dd4-65449359-b0dccada798c0caa;br%22	https://www.vwthemes.net/wp-content/themes/vwthemesdemo/assets/css/bootstrap.min.css?ver=6.8.1	C:/cloned/grocery2go/www.vwthemes.net/wp-content/themes/vwthemesdemo/assets/css/bootstrap.min0899.css	(from https://www.vwthemes.net/vw-grocery-pro/)
12:50:06	24321/24321	---MCZ	200	added ('OK')	text/css	etag:W/%225f01-65532802-dc608ff6814eb3ac;br%22	https://www.vwthemes.net/wp-content/themes/vwthemesdemo/style.css?ver=6.8.1	C:/cloned/grocery2go/www.vwthemes.net/wp-content/themes/vwthemesdemo/style0899.css	(from https://www.vwthemes.net/vw-grocery-pro/)
12:50:06	87553/87553	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%2215601-654b2f62-660545dd18f17296;br%22	https://www.vwthemes.net/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/cloned/grocery2go/www.vwthemes.net/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.vwthemes.net/vw-grocery-pro/)
12:50:06	13577/13577	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%223509-65449359-8b562766d09b0c43;br%22	https://www.vwthemes.net/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/cloned/grocery2go/www.vwthemes.net/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.vwthemes.net/vw-grocery-pro/)
12:50:07	1962/1962	---M--	200	added ('OK')	image/png	etag:%227aa-65449359-b3ac9655a241f7b0;;;%22	https://www.vwthemes.net/wp-content/uploads/2021/07/favicon.png	C:/cloned/grocery2go/www.vwthemes.net/wp-content/uploads/2021/07/favicon.png	(from https://www.vwthemes.net/vw-grocery-pro/)
12:50:07	0/0	---M--	302	error ('Found')	text/html	date:Wed,%2022%20Oct%202025%2011:50:06%20GMT	https://www.vwthemes.net/cdn-cgi/challenge-platform/scripts/jsd/main.js	C:/cloned/grocery2go/www.vwthemes.net/cdn-cgi/challenge-platform/scripts/jsd/main.js	(from https://www.vwthemes.net/vw-grocery-pro/)
12:50:07	9989/9989	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Oct%202025%2011:50:07%20GMT	https://www.vwthemes.net/cdn-cgi/challenge-platform/h/b/scripts/jsd/77aad7b82fab/main.js?	C:/cloned/grocery2go/www.vwthemes.net/cdn-cgi/challenge-platform/h/b/scripts/jsd/77aad7b82fab/maind41d.js	(from https://www.vwthemes.net/vw-grocery-pro/)
